X,Y,ID
32.719875,-117.16194,9b30e3bf
32.719795,-117.16293,a114b6aa
32.7156,-117.1611,a301ed4d
32.717888,-117.16203,a4b6c5ec
32.719917,-117.16208,954d10d4
32.715717,-117.16372,bc29e296
32.719864,-117.16303,a0f887a8
32.7156,-117.16384,a551c877
32.71997,-117.162964,9f43af09
32.719868,-117.16376,96d7a2f0
32.717827,-117.163956,9d72a768
32.717888,-117.1611,9530e1d2
32.719788,-117.16201,9bcbe64a
32.715736,-117.16394,98704c8d
32.71573,-117.16301,9f5fde0b
32.715874,-117.1629,a38ed857
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
32.719875,-117.16194,9b30e3bf,
32.719795,-117.16293,a114b6aa,
32.7156,-117.1611,a301ed4d,
32.717888,-117.16203,a4b6c5ec,
32.719917,-117.16208,954d10d4,
32.715717,-117.16372,bc29e296,
32.719864,-117.16303,a0f887a8,
32.7156,-117.16384,a551c877,
32.71997,-117.162964,9f43af09,
32.719868,-117.16376,96d7a2f0,
32.717827,-117.163956,9d72a768,
32.717888,-117.1611,9530e1d2,
32.719788,-117.16201,9bcbe64a,
32.715736,-117.16394,98704c8d,
32.71573,-117.16301,9f5fde0b,
32.715874,-117.1629,a38ed857,
